#phi_QP	dphi	correlation_counts	sqrt(N)
11	0.5	41.9	6.473020933
11	0.5	22.9	4.785394446
11	0.5	34.9	5.907622195
11	0.5	38.9	6.236986452
11	0.5	31.9	5.648008499
11	0.5	32.9	5.73585216
9	0.5	39.9	6.316644679
9	0.5	41.9	6.473020933
9	0.5	46.9	6.848357467
9	0.5	36.9	6.074537019
9	0.5	39.9	6.316644679
9	0.5	34.9	5.907622195
9	0.5	37.9	6.156297589
9	0.5	31.9	5.648008499
9	0.5	39.9	6.316644679
9	0.5	47.9	6.920982589
10	0.5	36.9	6.074537019
10	0.5	41.9	6.473020933
10	0.5	40.9	6.395310782
10	0.5	37.9	6.156297589
10	0.5	33.9	5.822370651
10	0.5	35.9	5.991660872
10	0.5	43.9	6.625707509
10	0.5	39.9	6.316644679
10	0.5	45.9	6.774953874
10	0.5	38.9	6.236986452
8	0.5	44.9	6.700746227
8	0.5	39.9	6.316644679
8	0.5	43.9	6.625707509
8	0.5	44.9	6.700746227
8	0.5	31.9	5.648008499
8	0.5	46.9	6.848357467
8	0.5	34.9	5.907622195
8	0.5	43.9	6.625707509
8	0.5	42.9	6.549809158
8	0.5	36.9	6.074537019
8	0.5	56.9	7.543208866
7	0.5	36.9	6.074537019
7	0.5	47.9	6.920982589
7	0.5	51.9	7.204165462
7	0.5	33.9	5.822370651
7	0.5	46.9	6.848357467
7	0.5	45.9	6.774953874
7	0.5	34.9	5.907622195
7	0.5	52.9	7.273238618
7	0.5	34.9	5.907622195
7	0.5	31.9	5.648008499
6	0.5	45.9	6.774953874
6	0.5	44.9	6.700746227
6	0.5	51.9	7.204165462
6	0.5	40.9	6.395310782
6	0.5	43.9	6.625707509
6	0.5	47.9	6.920982589
6	0.5	39.9	6.316644679
6	0.5	48.9	6.992853495
6	0.5	49.9	7.063993205
6	0.5	48.9	6.992853495
4	0.5	44.9	6.700746227
4	0.5	37.9	6.156297589
4	0.5	45.9	6.774953874
4	0.5	50.9	7.134423593
4	0.5	32.9	5.73585216
4	0.5	40.9	6.395310782
4	0.5	57.9	7.609204952
4	0.5	51.9	7.204165462
4	0.5	41.9	6.473020933
4	0.5	39.9	6.316644679
4	0.5	43.9	6.625707509
4	0.5	43.9	6.625707509
4	0.5	42.9	6.549809158
4	0.5	34.9	5.907622195
4	0.5	36.9	6.074537019
4	0.5	46.9	6.848357467
4	0.5	35.9	5.991660872
4	0.5	53.9	7.341661937
4	0.5	42.9	6.549809158
